"PLZ","Ort","Bundesland"
"3341","Ybbsitz","Niederösterreich"
"3342","Opponitz","Niederösterreich"
"3343","Hollenstein an der Ybbs","Niederösterreich"
"3344","St. Georgen am Reith","Niederösterreich"
"3345","Göstling an der Ybbs","Niederösterreich"
"3350","Haag","Niederösterreich"
"3351","Weistrach","Niederösterreich"
"3352","St. Peter in der Au","Niederösterreich"
"3353","Seitenstetten","Niederösterreich"
"3354","Wolfsbach","Niederösterreich"
"3355","Ertl","Niederösterreich"
"3356","Biberbach","Niederösterreich"
"3361","Aschbach Markt","Niederösterreich"
"3362","Mauer-Öhling","Niederösterreich"
"3363","Ulmerfeld-Hausmening","Niederösterreich"
"3364","Neuhofen an der Ybbs","Niederösterreich"
"3365","Allhartsberg","Niederösterreich"
"3366","Kühberg","Niederösterreich"
"3370","Ybbs an der Donau","Niederösterreich"
"3371","Neumarkt an der Ybbs","Niederösterreich"
"3372","Blindenmarkt","Niederösterreich"
"3373","Kemmelbach","Niederösterreich"
"3374","Säusenstein","Niederösterreich"
"3375","Krummnußbaum","Niederösterreich"
"3376","St. Martin-Karlsbach","Niederösterreich"
"3380","Pöchlarn","Niederösterreich"
"3381","Golling","Niederösterreich"
"3382","Loosdorf","Niederösterreich"
"3383","Hürm","Niederösterreich"
"3384","Groß Sierning","Niederösterreich"
"3385","Prinzersdorf","Niederösterreich"
"3386","Hafnerbach","Niederösterreich"
"3387","Groß Sierning","Niederösterreich"
"3390","Melk","Niederösterreich"
"3392","Schönbühel an der Donau","Niederösterreich"
"3393","Matzleinsdorf","Niederösterreich"
"3400","Klosterneuburg","Niederösterreich"
"3402","Klosterneuburg","Niederösterreich"
"3404","Klosterneuburg","Niederösterreich"
"3413","Hintersdorf","Niederösterreich"
"3420","Kritzendorf","Niederösterreich"
"3421","Höflein an der Donau","Niederösterreich"
"3422","Greifenstein","Niederösterreich"
"3423","St. Andrä-Wördern","Niederösterreich"
"3424","Zeiselmauer","Niederösterreich"
"3425","Langenlebarn","Niederösterreich"
"3426","Muckendorf-Wipfing","Niederösterreich"
"3430","Tulln an der Donau","Niederösterreich"
"3433","Königstetten","Niederösterreich"
"3434","Tulbing","Niederösterreich"
"3435","Zwentendorf an der Donau","Niederösterreich"
"3441","Judenau","Niederösterreich"
"3442","Langenrohr","Niederösterreich"
"3443","Sieghartskirchen","Niederösterreich"
"3451","Michelhausen","Niederösterreich"
"3452","Atzenbrugg","Niederösterreich"
"3454","Sitzenberg-Reidling","Niederösterreich"
"3455","Heiligeneich","Niederösterreich"
"3462","Absdorf","Niederösterreich"
"3463","Stetteldorf am Wagram","Niederösterreich"
"3464","Hausleiten","Niederösterreich"
"3465","Königsbrunn am Wagram","Niederösterreich"
"3470","Kirchberg am Wagram","Niederösterreich"
"3471","Großriedenthal","Niederösterreich"
"3472","Hohenwarth","Niederösterreich"
"3473","Mühlbach am Manhartsberg","Niederösterreich"
"3474","Altenwörth","Niederösterreich"
"3481","Fels am Wagram","Niederösterreich"
"3482","Gösing am Wagram","Niederösterreich"
"3483","Feuersbrunn","Niederösterreich"
"3484","Grafenwörth","Niederösterreich"
"3485","Haitzendorf","Niederösterreich"
"3491","Straß im Straßertale","Niederösterreich"
"3492","Etsdorf am Kamp","Niederösterreich"
"3493","Hadersdorf am Kamp","Niederösterreich"
"3494","Gedersdorf","Niederösterreich"
"3495","Rohrendorf bei Krems","Niederösterreich"
"3500","Krems an der Donau","Niederösterreich"
"3501","Krems-Lerchenfeld","Niederösterreich"
"3503","Krems-Rehberg","Niederösterreich"
"3504","Krems-Stein","Niederösterreich"
"3505","Krems","Niederösterreich"
"3506","Krems-Hollenburg","Niederösterreich"
"3508","Paudorf","Niederösterreich"
"3511","Furth bei Göttweig","Niederösterreich"
"3512","Mautern","Niederösterreich"
"3521","Obermeisling","Niederösterreich"
"3522","Lichtenau","Niederösterreich"
"3524","Grainbrunn","Niederösterreich"
"3525","Sallingberg","Niederösterreich"
"3531","Niedernondorf","Niederösterreich"
"3532","Rastenfeld","Niederösterreich"
"3533","Friedersbach","Niederösterreich"
"3541","Senftenberg","Niederösterreich"
"3542","Gföhl","Niederösterreich"
"3543","Krumau am Kamp","Niederösterreich"
"3544","Idolsberg","Niederösterreich"
"3550","Langenlois","Niederösterreich"
"3552","Lengenfeld","Niederösterreich"
"3553","Schiltern","Niederösterreich"
"3561","Zöbing","Niederösterreich"
"3562","Schönberg","Niederösterreich"
"3564","Plank am Kamp","Niederösterreich"
"3571","Gars am Kamp","Niederösterreich"
"3572","St. Leonhard am Hornerwald","Niederösterreich"
"3573","Rosenburg","Niederösterreich"
"3580","Horn","Niederösterreich"
"3591","Altenburg","Niederösterreich"
"3592","Röhrenbach","Niederösterreich"
"3593","Neupölla","Niederösterreich"
"3594","Franzen","Niederösterreich"
"3595","Brunn an der Wild","Niederösterreich"
"3601","Dürnstein","Niederösterreich"
"3602","Rossatz","Niederösterreich"
"3610","Weißenkirchen in der Wachau","Niederösterreich"
"3611","Großheinrichschlag","Niederösterreich"
